Hour,Genco 1,Genco 2
1,49.999999999999986,1,50.0,
2,49.999999999999986,2,50.0,
3,49.999999999999986,3,50.0,
4,49.999999999999986,4,50.0,
5,49.999999999999986,5,50.0,
6,49.999999999999986,6,50.0,
7,49.999999999999986,7,50.0,
8,49.999999999999986,8,50.0,
9,49.999999999999986,9,50.0,
10,49.999999999999986,10,50.0,
11,49.999999999999986,11,50.0,
12,49.999999999999986,12,50.0,
13,49.999999999999986,13,50.0,
14,49.999999999999986,14,50.0,
15,49.999999999999986,15,50.0,
16,49.999999999999986,16,50.0,
17,49.999999999999986,17,50.0,
18,49.999999999999986,18,50.0,
19,49.999999999999986,19,50.0,
20,49.999999999999986,20,50.0,
21,49.999999999999986,21,50.0,
22,49.999999999999986,22,50.0,
23,49.999999999999986,23,50.0,
24,49.999999999999986,24,50.0,
